日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,股票代码
1999-11-10,29.50,27.75,29.80,27.00,1740850,48.6亿,-,600000
1999-11-11,27.58,27.71,28.38,27.53,294034,8.22亿,3.06%,600000
1999-11-12,27.86,28.04,28.29,27.77,150079,4.22亿,1.88%,600000
1999-11-15,28.20,27.75,28.25,27.70,119210,3.33亿,1.96%,600000
1999-11-16,27.88,26.55,27.97,26.48,232231,6.29亿,5.37%,600000
1999-11-17,26.50,27.18,27.18,26.37,100525,2.69亿,3.05%,600000
1999-11-18,27.20,27.02,27.58,26.78,84465,2.3亿,2.94%,600000
1999-11-19,27.50,26.88,27.53,26.80,53749,1.46亿,2.7%,600000
1999-11-22,26.88,26.45,26.95,26.30,55354,1.47亿,2.42%,600000
1999-11-23,26.45,26.45,26.55,26.10,38439,1.01亿,1.7%,600000
1999-11-24,26.44,26.43,26.55,26.01,40980,1.07亿,2.04%,600000
1999-11-25,26.30,26.40,26.66,26.02,57252,1.51亿,2.42%,600000
1999-11-26,26.43,26.45,26.66,26.15,22826,6050万,1.93%,600000
1999-11-29,26.45,26.33,26.83,26.22,26812,7109万,2.31%,600000
1999-11-30,26.30,26.40,26.50,26.11,23713,6233万,1.48%,600000
1999-12-01,26.31,26.60,26.90,26.21,28651,7628万,2.61%,600000
1999-12-02,26.52,26.26,26.72,26.22,19384,5111万,1.88%,600000
1999-12-03,26.25,26.36,26.65,26.20,25525,6729万,1.71%,600000
1999-12-06,26.30,25.66,26.35,25.60,69839,1.81亿,2.85%,600000
1999-12-07,25.60,25.60,25.85,25.50,39557,1.01亿,1.36%,600000
1999-12-08,25.60,25.53,25.76,25.50,22365,5721万,1.02%,600000
1999-12-09,25.50,25.36,25.55,25.30,25646,6513万,0.98%,600000
1999-12-10,25.36,25.97,26.10,25.22,35539,9104万,3.47%,600000
1999-12-13,25.98,25.92,26.45,25.60,70584,1.85亿,3.27%,600000
1999-12-14,25.70,26.00,26.00,25.70,16184,4184万,1.16%,600000
1999-12-15,26.00,26.45,26.90,25.90,67978,1.8亿,3.85%,600000
1999-12-16,26.50,26.00,26.50,25.95,36162,9460万,2.08%,600000
1999-12-17,26.00,25.58,26.13,25.51,35653,9180万,2.38%,600000
1999-12-21,25.45,25.24,25.55,25.14,42153,1.07亿,1.6%,600000
1999-12-22,25.24,25.15,25.35,25.05,30835,7761万,1.19%,600000
1999-12-23,25.20,24.78,25.30,24.70,41615,1.04亿,2.39%,600000
1999-12-24,24.60,24.75,25.07,24.59,28324,7014万,1.94%,600000
1999-12-27,24.75,24.58,25.00,24.50,22337,5517万,2.02%,600000
1999-12-28,24.54,24.60,25.08,24.50,31766,7843万,2.36%,600000
1999-12-29,24.71,24.66,24.97,24.57,22842,5643万,1.63%,600000
1999-12-30,24.90,24.75,24.99,24.65,23331,5788万,1.38%,600000
2000-01-04,24.98,25.57,25.78,24.75,44960,1.14亿,4.16%,600000
2000-01-05,25.57,25.28,25.98,25.15,52528,1.34亿,3.25%,600000
2000-01-06,25.18,25.99,26.30,25.05,62296,1.6亿,4.94%,600000
2000-01-07,26.30,26.90,27.50,26.12,213553,5.76亿,5.31%,600000
2000-01-10,27.00,27.25,27.85,26.71,165397,4.5亿,4.24%,600000
2000-01-11,27.25,26.20,27.30,26.12,93907,2.51亿,4.33%,600000
2000-01-12,26.00,25.12,26.00,24.80,352749,8.9亿,4.58%,600000
2000-01-13,25.00,24.90,25.25,24.80,79756,1.99亿,1.79%,600000
2000-01-14,24.88,24.20,25.00,23.91,178618,4.34亿,4.38%,600000
2000-01-17,24.08,24.40,24.44,23.75,81015,1.95亿,2.85%,600000
2000-01-18,24.50,24.14,24.57,23.88,76933,1.85亿,2.83%,600000
2000-01-19,24.14,24.13,24.29,23.98,46584,1.12亿,1.28%,600000
2000-01-20,24.12,24.44,24.65,24.10,51144,1.25亿,2.28%,600000
2000-01-21,24.51,24.27,24.63,24.08,81386,1.98亿,2.25%,600000
2000-01-24,24.20,24.18,24.25,23.95,92502,2.22亿,1.24%,600000
2000-01-25,24.18,24.59,25.16,24.18,77422,1.91亿,4.05%,600000
2000-01-26,24.60,24.41,24.80,24.31,27377,6703万,1.99%,600000
2000-01-27,24.47,24.59,24.78,24.20,63350,1.55亿,2.38%,600000
2000-01-28,24.60,25.04,25.10,24.56,123627,3.08亿,2.2%,600000
2000-02-14,26.00,27.20,27.48,25.50,237391,6.28亿,7.91%,600000
2000-02-15,27.20,25.68,27.48,25.65,262676,6.93亿,6.73%,600000
2000-02-16,25.50,25.20,25.55,24.91,190690,4.79亿,2.49%,600000
2000-02-17,25.25,24.90,26.40,24.23,230447,5.8亿,8.61%,600000
